"Index","Run","Filter","After","Legacy_Code","Offer_Code"
"1","yes","web","2014-11-20T16:51:00","BDEN3F","OMNC8UUW"
"2","no","op","2014-10-01T16:51:00","B6JE33","OPACZ388"
"3","no","web","2014-09-25T16:51:00","B6JE34","OPAC93GD"
"4","no","op","2014-10-01T16:51:00","B6JE36","OPAC8YDX"
"5","no","web","2014-10-04T16:51:00","B6JE38","ODPC968A"
